fips,county,state_name,state_abbr,svi,risk,ml_risk
05121,Randolph County,Arkansas,AR,0.7051,0.2115,0.0
05123,St. Francis County,Arkansas,AR,0.9777,0.2933,0.0
05125,Saline County,Arkansas,AR,0.2864,0.0859,0.0
05127,Scott County,Arkansas,AR,0.7537,0.9261,1.0
05129,Searcy County,Arkansas,AR,0.517,0.1551,0.0
05131,Sebastian County,Arkansas,AR,0.8696,0.2609,0.0
05133,Sevier County,Arkansas,AR,0.825,0.2475,0.0
05135,Sharp County,Arkansas,AR,0.5838,0.1751,0.0
05137,Stone County,Arkansas,AR,0.7709,0.2313,0.0
05139,Union County,Arkansas,AR,0.6682,0.2005,0.0
05141,Van Buren County,Arkansas,AR,0.7763,0.2329,0.0
05143,Washington County,Arkansas,AR,0.7658,0.2297,0.0
05145,White County,Arkansas,AR,0.8482,0.9545,1.0
05147,Woodruff County,Arkansas,AR,0.7671,0.6968,0.6667
05149,Yell County,Arkansas,AR,0.7738,0.9321,1.0
06001,Alameda County,California,CA,0.5129,0.1539,0.0
06003,Alpine County,California,CA,0.4044,0.1213,0.0
06005,Amador County,California,CA,0.5647,0.1694,0.0
06007,Butte County,California,CA,0.8225,0.2468,0.0
06009,Calaveras County,California,CA,0.3357,0.1007,0.0
06011,Colusa County,California,CA,0.84,0.252,0.0
06013,Contra Costa County,California,CA,0.4785,0.1435,0.0
06015,Del Norte County,California,CA,0.9004,0.2701,0.0
06017,El Dorado County,California,CA,0.1896,0.0569,0.0
06019,Fresno County,California,CA,0.9618,0.2885,0.0
06021,Glenn County,California,CA,0.8622,0.2587,0.0
06023,Humboldt County,California,CA,0.8269,0.2481,0.0
06025,Imperial County,California,CA,0.9936,0.2981,0.0
06027,Inyo County,California,CA,0.6147,0.1844,0.0
06029,Kern County,California,CA,0.9685,0.2905,0.0
06031,Kings County,California,CA,0.9507,0.2852,0.0
06033,Lake County,California,CA,0.9055,0.2716,0.0
06035,Lassen County,California,CA,0.8231,0.2469,0.0
06037,Los Angeles County,California,CA,0.8629,0.2589,0.0
06039,Madera County,California,CA,0.9593,0.2878,0.0
06041,Marin County,California,CA,0.37,0.111,0.0
06043,Mariposa County,California,CA,0.8613,0.2584,0.0
06045,Mendocino County,California,CA,0.9726,0.2918,0.0
06047,Merced County,California,CA,0.973,0.2919,0.0
06049,Modoc County,California,CA,0.8186,0.2456,0.0
06051,Mono County,California,CA,0.3891,0.1167,0.0
06053,Monterey County,California,CA,0.8686,0.2606,0.0
06055,Napa County,California,CA,0.6831,0.2049,0.0
06057,Nevada County,California,CA,0.2148,0.0644,0.0
06059,Orange County,California,CA,0.5692,0.1708,0.0
06061,Placer County,California,CA,0.1992,0.0598,0.0
06063,Plumas County,California,CA,0.4088,0.1226,0.0
06065,Riverside County,California,CA,0.8199,0.246,0.0
06067,Sacramento County,California,CA,0.7509,0.2253,0.0
06069,San Benito County,California,CA,0.5094,0.1528,0.0
06071,San Bernardino County,California,CA,0.8858,0.2657,0.0
06073,San Diego County,California,CA,0.7057,0.2117,0.0
06075,San Francisco County,California,CA,0.482,0.1446,0.0
06077,San Joaquin County,California,CA,0.8718,0.2615,0.0
06079,San Luis Obispo County,California,CA,0.5227,0.1568,0.0
06081,San Mateo County,California,CA,0.2899,0.087,0.0
06083,Santa Barbara County,California,CA,0.8667,0.26,0.0
06085,Santa Clara County,California,CA,0.3614,0.8084,1.0
06087,Santa Cruz County,California,CA,0.6131,0.1839,0.0
06089,Shasta County,California,CA,0.7649,0.2295,0.0
06091,Sierra County,California,CA,0.3522,0.1057,0.0
06093,Siskiyou County,California,CA,0.7884,0.2365,0.0
06095,Solano County,California,CA,0.6201,0.186,0.0
06097,Sonoma County,California,CA,0.5562,0.1669,0.0
